Temperature - (Celsius), Year, Statistics, Country, ISO3
25.8121, 1912, Sep Average, India, IND
24.4771, 1912, Oct Average, India, IND
19.824, 1912, Nov Average, India, IND
16.7608, 1912, Dec Average, India, IND
16.7975, 1913, Jan Average, India, IND
19.1502, 1913, Feb Average, India, IND
22.1466, 1913, Mar Average, India, IND
28.2699, 1913, Apr Average, India, IND
29.0887, 1913, May Average, India, IND
27.9573, 1913, Jun Average, India, IND
26.7785, 1913, Jul Average, India, IND
26.3271, 1913, Aug Average, India, IND
26.3219, 1913, Sep Average, India, IND
24.7413, 1913, Oct Average, India, IND
20.1626, 1913, Nov Average, India, IND
17.1954, 1913, Dec Average, India, IND
17.6708, 1914, Jan Average, India, IND
19.108, 1914, Feb Average, India, IND
22.8605, 1914, Mar Average, India, IND
26.7422, 1914, Apr Average, India, IND
29.8228, 1914, May Average, India, IND
28.9715, 1914, Jun Average, India, IND
26.7204, 1914, Jul Average, India, IND
26.101, 1914, Aug Average, India, IND
26.0752, 1914, Sep Average, India, IND
24.0054, 1914, Oct Average, India, IND
20.9893, 1914, Nov Average, India, IND
17.2642, 1914, Dec Average, India, IND
17.0541, 1915, Jan Average, India, IND
18.3626, 1915, Feb Average, India, IND
23.0287, 1915, Mar Average, India, IND
27.2837, 1915, Apr Average, India, IND
30.6152, 1915, May Average, India, IND
29.9886, 1915, Jun Average, India, IND
27.7074, 1915, Jul Average, India, IND
26.6291, 1915, Aug Average, India, IND
26.499, 1915, Sep Average, India, IND
25.448, 1915, Oct Average, India, IND
21.458, 1915, Nov Average, India, IND
17.2353, 1915, Dec Average, India, IND
17.2013, 1916, Jan Average, India, IND
18.7348, 1916, Feb Average, India, IND
24.7402, 1916, Mar Average, India, IND
28.1678, 1916, Apr Average, India, IND
30.0338, 1916, May Average, India, IND
27.9269, 1916, Jun Average, India, IND
27.0138, 1916, Jul Average, India, IND
26.1745, 1916, Aug Average, India, IND
26.0128, 1916, Sep Average, India, IND
24.3326, 1916, Oct Average, India, IND
19.9117, 1916, Nov Average, India, IND
16.4127, 1916, Dec Average, India, IND
16.897, 1917, Jan Average, India, IND
18.8133, 1917, Feb Average, India, IND
22.5652, 1917, Mar Average, India, IND
25.9221, 1917, Apr Average, India, IND
28.2648, 1917, May Average, India, IND
27.944, 1917, Jun Average, India, IND
26.6015, 1917, Jul Average, India, IND
26.0819, 1917, Aug Average, India, IND
25.3569, 1917, Sep Average, India, IND
23.7437, 1917, Oct Average, India, IND
19.4957, 1917, Nov Average, India, IND
16.9658, 1917, Dec Average, India, IND
15.8983, 1918, Jan Average, India, IND
18.9826, 1918, Feb Average, India, IND
23.1195, 1918, Mar Average, India, IND
26.2817, 1918, Apr Average, India, IND
29.7697, 1918, May Average, India, IND
27.9813, 1918, Jun Average, India, IND
28.0516, 1918, Jul Average, India, IND
26.5634, 1918, Aug Average, India, IND
26.3866, 1918, Sep Average, India, IND
24.8581, 1918, Oct Average, India, IND
21.0393, 1918, Nov Average, India, IND
16.9847, 1918, Dec Average, India, IND
17.4484, 1919, Jan Average, India, IND
18.6974, 1919, Feb Average, India, IND
23.7009, 1919, Mar Average, India, IND
27.0721, 1919, Apr Average, India, IND
29.5825, 1919, May Average, India, IND
29.0763, 1919, Jun Average, India, IND
26.7681, 1919, Jul Average, India, IND
26.2231, 1919, Aug Average, India, IND
25.8545, 1919, Sep Average, India, IND
24.2036, 1919, Oct Average, India, IND
20.7087, 1919, Nov Average, India, IND
17.0081, 1919, Dec Average, India, IND
17.2716, 1920, Jan Average, India, IND
18.6633, 1920, Feb Average, India, IND
23.4228, 1920, Mar Average, India, IND
27.1329, 1920, Apr Average, India, IND
28.4332, 1920, May Average, India, IND
29.1076, 1920, Jun Average, India, IND
26.9392, 1920, Jul Average, India, IND
26.4475, 1920, Aug Average, India, IND
26.7927, 1920, Sep Average, India, IND
25.4429, 1920, Oct Average, India, IND
21.2091, 1920, Nov Average, India, IND
17.602, 1920, Dec Average, India, IND
17.6696, 1921, Jan Average, India, IND
18.8864, 1921, Feb Average, India, IND
25.0546, 1921, Mar Average, India, IND
28.6696, 1921, Apr Average, India, IND
31.2906, 1921, May Average, India, IND
29.2507, 1921, Jun Average, India, IND
27.6034, 1921, Jul Average, India, IND
26.099, 1921, Aug Average, India, IND
25.6782, 1921, Sep Average, India, IND
23.8738, 1921, Oct Average, India, IND
19.9073, 1921, Nov Average, India, IND
17.8982, 1921, Dec Average, India, IND
16.8715, 1922, Jan Average, India, IND
19.7524, 1922, Feb Average, India, IND
24.2604, 1922, Mar Average, India, IND
28.2404, 1922, Apr Average, India, IND
30.2885, 1922, May Average, India, IND
28.7829, 1922, Jun Average, India, IND
