Temperature - (Celsius), Year, Statistics, Country, ISO3
13.5045, 1910, May Average, South Africa, ZAF
10.0282, 1910, Jun Average, South Africa, ZAF
10.3604, 1910, Jul Average, South Africa, ZAF
11.7029, 1910, Aug Average, South Africa, ZAF
14.8543, 1910, Sep Average, South Africa, ZAF
16.9648, 1910, Oct Average, South Africa, ZAF
18.2766, 1910, Nov Average, South Africa, ZAF
21.4611, 1910, Dec Average, South Africa, ZAF
22.2267, 1911, Jan Average, South Africa, ZAF
22.853, 1911, Feb Average, South Africa, ZAF
19.8567, 1911, Mar Average, South Africa, ZAF
16.7475, 1911, Apr Average, South Africa, ZAF
12.9544, 1911, May Average, South Africa, ZAF
9.66225, 1911, Jun Average, South Africa, ZAF
9.68616, 1911, Jul Average, South Africa, ZAF
11.2441, 1911, Aug Average, South Africa, ZAF
14.7741, 1911, Sep Average, South Africa, ZAF
18.5294, 1911, Oct Average, South Africa, ZAF
19.9415, 1911, Nov Average, South Africa, ZAF
22.6013, 1911, Dec Average, South Africa, ZAF
22.7677, 1912, Jan Average, South Africa, ZAF
22.2385, 1912, Feb Average, South Africa, ZAF
20.1433, 1912, Mar Average, South Africa, ZAF
17.5077, 1912, Apr Average, South Africa, ZAF
13.9783, 1912, May Average, South Africa, ZAF
10.6697, 1912, Jun Average, South Africa, ZAF
10.3412, 1912, Jul Average, South Africa, ZAF
12.1793, 1912, Aug Average, South Africa, ZAF
14.2367, 1912, Sep Average, South Africa, ZAF
18.1617, 1912, Oct Average, South Africa, ZAF
20.5288, 1912, Nov Average, South Africa, ZAF
22.0911, 1912, Dec Average, South Africa, ZAF
23.089, 1913, Jan Average, South Africa, ZAF
22.6696, 1913, Feb Average, South Africa, ZAF
20.218, 1913, Mar Average, South Africa, ZAF
17.1767, 1913, Apr Average, South Africa, ZAF
13.9438, 1913, May Average, South Africa, ZAF
11.1343, 1913, Jun Average, South Africa, ZAF
10.3452, 1913, Jul Average, South Africa, ZAF
13.111, 1913, Aug Average, South Africa, ZAF
14.8607, 1913, Sep Average, South Africa, ZAF
17.4728, 1913, Oct Average, South Africa, ZAF
20.2584, 1913, Nov Average, South Africa, ZAF
21.8819, 1913, Dec Average, South Africa, ZAF
