Temperature - (Celsius), Year, Statistics, Country, ISO3
26.1433, 1910, May Average, Indonesia, IDN
25.2669, 1910, Jun Average, Indonesia, IDN
25.1798, 1910, Jul Average, Indonesia, IDN
25.131, 1910, Aug Average, Indonesia, IDN
25.7592, 1910, Sep Average, Indonesia, IDN
25.2405, 1910, Oct Average, Indonesia, IDN
25.9586, 1910, Nov Average, Indonesia, IDN
25.3601, 1910, Dec Average, Indonesia, IDN
25.5684, 1911, Jan Average, Indonesia, IDN
25.5904, 1911, Feb Average, Indonesia, IDN
25.8676, 1911, Mar Average, Indonesia, IDN
25.9051, 1911, Apr Average, Indonesia, IDN
26.112, 1911, May Average, Indonesia, IDN
25.4163, 1911, Jun Average, Indonesia, IDN
25.1922, 1911, Jul Average, Indonesia, IDN
25.067, 1911, Aug Average, Indonesia, IDN
25.3689, 1911, Sep Average, Indonesia, IDN
25.631, 1911, Oct Average, Indonesia, IDN
26.566, 1911, Nov Average, Indonesia, IDN
26.0817, 1911, Dec Average, Indonesia, IDN
25.8601, 1912, Jan Average, Indonesia, IDN
25.9177, 1912, Feb Average, Indonesia, IDN
26.0695, 1912, Mar Average, Indonesia, IDN
26.3788, 1912, Apr Average, Indonesia, IDN
26.3037, 1912, May Average, Indonesia, IDN
25.76, 1912, Jun Average, Indonesia, IDN
25.2943, 1912, Jul Average, Indonesia, IDN
25.2887, 1912, Aug Average, Indonesia, IDN
25.5963, 1912, Sep Average, Indonesia, IDN
25.7601, 1912, Oct Average, Indonesia, IDN
26.3221, 1912, Nov Average, Indonesia, IDN
25.9605, 1912, Dec Average, Indonesia, IDN
25.7529, 1913, Jan Average, Indonesia, IDN
25.7869, 1913, Feb Average, Indonesia, IDN
25.928, 1913, Mar Average, Indonesia, IDN
25.7477, 1913, Apr Average, Indonesia, IDN
26.021, 1913, May Average, Indonesia, IDN
25.2507, 1913, Jun Average, Indonesia, IDN
25.1676, 1913, Jul Average, Indonesia, IDN
25.2277, 1913, Aug Average, Indonesia, IDN
25.3647, 1913, Sep Average, Indonesia, IDN
25.8249, 1913, Oct Average, Indonesia, IDN
26.5448, 1913, Nov Average, Indonesia, IDN
26.0543, 1913, Dec Average, Indonesia, IDN
25.7471, 1914, Jan Average, Indonesia, IDN
25.9159, 1914, Feb Average, Indonesia, IDN
26.0736, 1914, Mar Average, Indonesia, IDN
26.1367, 1914, Apr Average, Indonesia, IDN
26.7626, 1914, May Average, Indonesia, IDN
25.436, 1914, Jun Average, Indonesia, IDN
25.127, 1914, Jul Average, Indonesia, IDN
25.2909, 1914, Aug Average, Indonesia, IDN
25.4794, 1914, Sep Average, Indonesia, IDN
25.9787, 1914, Oct Average, Indonesia, IDN
26.5309, 1914, Nov Average, Indonesia, IDN
26.2208, 1914, Dec Average, Indonesia, IDN
25.5788, 1915, Jan Average, Indonesia, IDN
25.6519, 1915, Feb Average, Indonesia, IDN
26.1146, 1915, Mar Average, Indonesia, IDN
26.2029, 1915, Apr Average, Indonesia, IDN
26.2032, 1915, May Average, Indonesia, IDN
25.9588, 1915, Jun Average, Indonesia, IDN
25.6057, 1915, Jul Average, Indonesia, IDN
25.7628, 1915, Aug Average, Indonesia, IDN
25.8366, 1915, Sep Average, Indonesia, IDN
26.032, 1915, Oct Average, Indonesia, IDN
26.6891, 1915, Nov Average, Indonesia, IDN
