"X","Temperature....Celsius.","Year","Statistics","Country","ISO3"
103,15.4031,1969," Jul Average"," Russia"," RUS"
104,11.9213,1969," Aug Average"," Russia"," RUS"
105,4.70385,1969," Sep Average"," Russia"," RUS"
106,-6.1655,1969," Oct Average"," Russia"," RUS"
107,-16.197,1969," Nov Average"," Russia"," RUS"
108,-24.679,1969," Dec Average"," Russia"," RUS"
109,-27.195,1970," Jan Average"," Russia"," RUS"
110,-24.791,1970," Feb Average"," Russia"," RUS"
111,-17.159,1970," Mar Average"," Russia"," RUS"
112,-7.2555,1970," Apr Average"," Russia"," RUS"
113,1.82057,1970," May Average"," Russia"," RUS"
114,10.4037,1970," Jun Average"," Russia"," RUS"
115,15.2632,1970," Jul Average"," Russia"," RUS"
116,10.7419,1970," Aug Average"," Russia"," RUS"
117,6.35212,1970," Sep Average"," Russia"," RUS"
118,-6.4352,1970," Oct Average"," Russia"," RUS"
119,-17.832,1970," Nov Average"," Russia"," RUS"
120,-24.311,1970," Dec Average"," Russia"," RUS"
121,-24.917,1971," Jan Average"," Russia"," RUS"
122,-27.526,1971," Feb Average"," Russia"," RUS"
123,-18.45,1971," Mar Average"," Russia"," RUS"
124,-7.9248,1971," Apr Average"," Russia"," RUS"
125,2.88096,1971," May Average"," Russia"," RUS"
126,10.6159,1971," Jun Average"," Russia"," RUS"
127,14.8109,1971," Jul Average"," Russia"," RUS"
128,12.4472,1971," Aug Average"," Russia"," RUS"
129,6.46087,1971," Sep Average"," Russia"," RUS"
130,-4.6762,1971," Oct Average"," Russia"," RUS"
131,-14.261,1971," Nov Average"," Russia"," RUS"
132,-23.202,1971," Dec Average"," Russia"," RUS"
133,-30.365,1972," Jan Average"," Russia"," RUS"
134,-23.88,1972," Feb Average"," Russia"," RUS"
135,-17.385,1972," Mar Average"," Russia"," RUS"
136,-5.4837,1972," Apr Average"," Russia"," RUS"
137,1.77693,1972," May Average"," Russia"," RUS"
138,10.5331,1972," Jun Average"," Russia"," RUS"
139,14.4402,1972," Jul Average"," Russia"," RUS"
140,11.8972,1972," Aug Average"," Russia"," RUS"
141,4.31789,1972," Sep Average"," Russia"," RUS"
142,-4.7756,1972," Oct Average"," Russia"," RUS"
143,-20.517,1972," Nov Average"," Russia"," RUS"
144,-23.098,1972," Dec Average"," Russia"," RUS"
145,-27.358,1973," Jan Average"," Russia"," RUS"
146,-22.737,1973," Feb Average"," Russia"," RUS"
147,-16.454,1973," Mar Average"," Russia"," RUS"
148,-6.6535,1973," Apr Average"," Russia"," RUS"
149,3.22062,1973," May Average"," Russia"," RUS"
150,11.4865,1973," Jun Average"," Russia"," RUS"
151,14.4324,1973," Jul Average"," Russia"," RUS"
152,12.2393,1973," Aug Average"," Russia"," RUS"
153,5.21546,1973," Sep Average"," Russia"," RUS"
154,-5.7807,1973," Oct Average"," Russia"," RUS"
155,-16.811,1973," Nov Average"," Russia"," RUS"
156,-23.137,1973," Dec Average"," Russia"," RUS"
157,-28.677,1974," Jan Average"," Russia"," RUS"
158,-26.737,1974," Feb Average"," Russia"," RUS"
159,-15.716,1974," Mar Average"," Russia"," RUS"
160,-6.5146,1974," Apr Average"," Russia"," RUS"
161,2.29694,1974," May Average"," Russia"," RUS"
162,10.5135,1974," Jun Average"," Russia"," RUS"
163,15.1116,1974," Jul Average"," Russia"," RUS"
